drug_id,drug_name,atc_code,atc_level1,atc_level1_name,atc_level2,atc_level3,atc_level4,atc_level5,level_name,primary_category
DB04445,Mercuric iodide,D08AK30,D,Dermatologicals,D08,D08A,D08AK,D08AK30,Mercurial products,D
DB04552,Niflumic acid,M02AA17,M,Musculo-skeletal system,M02,M02A,M02AA,M02AA17,"Antiinflammatory preparations, non-steroids for topical use",M
DB04552,Niflumic acid,M01AX02,M,Musculo-skeletal system,M01,M01A,M01AX,M01AX02,"Other antiinflammatory and antirheumatic agents, non-steroids",M
DB04570,Latamoxef,J01DD06,J,Antiinfectives for systemic use,J01,J01D,J01DD,J01DD06,Third-generation cephalosporins,J
DB04571,Trioxsalen,D05BA01,D,Dermatologicals,D05,D05B,D05BA,D05BA01,Psoralens for systemic use,D
DB04571,Trioxsalen,D05AD01,D,Dermatologicals,D05,D05A,D05AD,D05AD01,Psoralens for topical use,D
DB04572,Thiotepa,L01AC01,L,Antineoplastic and immunomodulating agents,L01,L01A,L01AC,L01AC01,Ethylene imines,L
DB04573,Estriol,G03CC06,G,Genito-urinary system and sex hormones,G03,G03C,G03CC,G03CC06,"Estrogens, combinations with other drugs",G
DB04573,Estriol,G03CA04,G,Genito-urinary system and sex hormones,G03,G03C,G03CA,G03CA04,"Natural and semisynthetic estrogens, plain",G
DB04576,Fleroxacin,J01MA08,J,Antiinfectives for systemic use,J01,J01M,J01MA,J01MA08,Fluoroquinolones,J
DB04599,Aniracetam,N06BX11,N,Nervous system,N06,N06B,N06BX,N06BX11,Other psychostimulants and nootropics,N
DB04630,Aldosterone,H02AA01,H,Systemic hormonal preparations,H02,H02A,H02AA,H02AA01,Mineralocorticoids,H
DB04660,Choline alfoscerate,N07AX02,N,Nervous system,N07,N07A,N07AX,N07AX02,Other parasympathomimetics,N
DB04711,Iodipamide,V08AC04,V,Various,V08,V08A,V08AC,V08AC04,"Watersoluble, hepatotropic X-ray contrast media",V
DB04743,Nimesulide,M02AA26,M,Musculo-skeletal system,M02,M02A,M02AA,M02AA26,"Antiinflammatory preparations, non-steroids for topical use",M
DB04743,Nimesulide,M01AX17,M,Musculo-skeletal system,M01,M01A,M01AX,M01AX17,"Other antiinflammatory and antirheumatic agents, non-steroids",M
DB04786,Suramin,P01CX02,P,Antiparasitic products,P01,P01C,P01CX,P01CX02,Other agents against leishmaniasis and trypanosomiasis,P
DB04794,Bifonazole,D01AC10,D,Dermatologicals,D01,D01A,D01AC,D01AC10,Imidazole and triazole derivatives,D
DB04794,Bifonazole,D01AC60,D,Dermatologicals,D01,D01A,D01AC,D01AC60,Imidazole and triazole derivatives,D
DB04812,Benoxaprofen,M01AE06,M,Musculo-skeletal system,M01,M01A,M01AE,M01AE06,Propionic acid derivatives,M
DB04813,Bithionol,D10AB01,D,Dermatologicals,D10,D10A,D10AB,D10AB01,Preparations containing sulfur,D
DB04813,Bithionol,P02BX01,P,Antiparasitic products,P02,P02B,P02BX,P02BX01,Other antitrematodal agents,P
DB04815,Clioquinol,G01AC02,G,Genito-urinary system and sex hormones,G01,G01A,G01AC,G01AC02,Quinoline derivatives,G
DB04815,Clioquinol,S02AA05,S,Sensory organs,S02,S02A,S02AA,S02AA05,Antiinfectives,S
DB04815,Clioquinol,D09AA10,D,Dermatologicals,D09,D09A,D09AA,D09AA10,Medicated dressings with antiinfectives,D
DB04815,Clioquinol,P01AA02,P,Antiparasitic products,P01,P01A,P01AA,P01AA02,Hydroxyquinoline derivatives,P
DB04815,Clioquinol,P01AA52,P,Antiparasitic products,P01,P01A,P01AA,P01AA52,Hydroxyquinoline derivatives,P
DB04815,Clioquinol,D08AH30,D,Dermatologicals,D08,D08A,D08AH,D08AH30,Quinoline derivatives,D
DB04816,Dantron,A06AB03,A,Alimentary tract and metabolism,A06,A06A,A06AB,A06AB03,Contact laxatives,A
DB04816,Dantron,A06AB53,A,Alimentary tract and metabolism,A06,A06A,A06AB,A06AB53,Contact laxatives,A
DB04816,Dantron,A06AG03,A,Alimentary tract and metabolism,A06,A06A,A06AG,A06AG03,Enemas,A
DB04817,Metamizole,N02BB72,N,Nervous system,N02,N02B,N02BB,N02BB72,Pyrazolones,N
DB04817,Metamizole,N02BB02,N,Nervous system,N02,N02B,N02BB,N02BB02,Pyrazolones,N
DB04817,Metamizole,N02BB52,N,Nervous system,N02,N02B,N02BB,N02BB52,Pyrazolones,N
