drug_id,name,atc_codes,target_genes,enzyme_genes,transporter_genes,all_genes,num_targets,num_enzymes,num_transporters,num_total_genes
DB00471,Montelukast,"['R03DC03', 'R03DC53']","['CYSLTR1', 'ALOX5']","['CYP2C8', 'CYP3A4', 'CYP2C9', 'PTGS1', 'CYP2A6']",['SLCO2B1'],"['ALOX5', 'CYP2C9', 'CYP2A6', 'SLCO2B1', 'PTGS1', 'CYP2C8', 'CYP3A4', 'CYSLTR1']",2,5,1,8
DB00472,Fluoxetine,"['N06CA03', 'N06AB03']","['SLC6A4', 'KCNH2', 'HTR2C', 'CKS1B', 'CHRNA2', 'CHRNA3', 'CHRNB4']","['CYP2C19', 'CYP2D6', 'CYP2C9', 'CYP2B', 'CYP1A2', 'CYP3A4', 'CYP2B6', 'CYP3A5']",['ABCB1'],"['CYP2B6', 'CKS1B', 'CHRNB4', 'KCNH2', 'CYP3A5', 'SLC6A4', 'CYP2C9', 'HTR2C', 'CHRNA3', 'CYP2B', 'CYP1A2', 'CYP2C19', 'CYP2D6', 'CHRNA2', 'CYP3A4', 'ABCB1']",7,8,1,16
DB00474,Methohexital,"['N05CB01', 'N01AF01', 'N05CA15']",['GABRA1'],['CYP2C19'],[],"['CYP2C19', 'GABRA1']",1,1,0,2
DB00475,Chlordiazepoxide,['N05BA02'],"['GABRA1', 'GABRA2', 'GABRA3', 'GABRA4', 'GABRA5', 'GABRA6', 'GABRB1', 'GABRB2', 'GABRB3', 'GABRD', 'GABRE', 'GABRG1', 'GABRG2', 'GABRG3', 'GABRP', 'GABRQ']",['CYP3A4'],[],"['GABRA3', 'GABRA5', 'GABRA2', 'GABRA6', 'GABRG1', 'GABRG3', 'GABRP', 'GABRA4', 'GABRB1', 'GABRG2', 'GABRB2', 'GABRB3', 'GABRE', 'GABRQ', 'GABRD', 'CYP3A4', 'GABRA1']",16,1,0,17
DB00476,Duloxetine,['N06AX21'],"['SLC6A4', 'SLC6A2', 'SLC6A3']","['CYP1A2', 'CYP2D6', 'CYP2C9']",['ABCB1'],"['SLC6A4', 'CYP2C9', 'CYP1A2', 'SLC6A2', 'CYP2D6', 'SLC6A3', 'ABCB1']",3,3,1,7
DB00477,Chlorpromazine,['N05AA01'],"['DRD2', 'DRD1', 'HTR1A', 'HTR2A', 'ADRA1A', 'ADRA1B', 'HRH1', 'KCNH2', 'DRD1', 'DRD5', 'DRD3', 'DRD4', 'DRD5', 'HTR2C', 'HTR2A', 'HTR2B', 'HTR2C', 'ADRA1A', 'ADRA1B', 'ADRA1D', 'ADRA2A', 'ADRA2B', 'ADRA2C', 'CHRM1', 'CHRM3', 'SMPD1', 'CALM1', 'ORM1', 'ORM2', 'HTR6', 'HTR7', 'HRH4']","['CYP2D6', 'CYP1A2', 'CYP2E1', 'CYP3A4', 'BCHE']","['ABCB1', 'ABCB11']","['ADRA1B', 'ADRA1A', 'DRD4', 'HRH4', 'BCHE', 'CYP2D6', 'HTR2A', 'ABCB11', 'ORM2', 'HTR1A', 'DRD2', 'HRH1', 'HTR2C', 'CHRM1', 'HTR7', 'CHRM3', 'ADRA1D', 'DRD3', 'ABCB1', 'SMPD1', 'ADRA2C', 'CALM1', 'ORM1', 'CYP2E1', 'DRD1', 'CYP3A4', 'HTR2B', 'KCNH2', 'ADRA2B', 'CYP1A2', 'HTR6', 'ADRA2A', 'DRD5']",32,5,2,33
DB00478,Rimantadine,['J05AC02'],['M'],[],[],['M'],1,0,0,1
DB00479,Amikacin,"['S01AA21', 'D06AX12', 'J01GB06', 'J01RA06']",['rpsL'],[],[],['rpsL'],1,0,0,1
DB00480,Lenalidomide,['L04AX04'],"['CRBN', 'TNFSF11', 'CDH5', 'PTGS2']",[],['ABCB1'],"['CRBN', 'CDH5', 'PTGS2', 'TNFSF11', 'ABCB1']",4,0,1,5
DB00481,Raloxifene,['G03XC01'],"['ESR1', 'ESR2', 'SERPINB9', 'TFF1']","['CYP2B6', 'CYP2C8', 'AOX1', 'CYP19A1', 'CYP3A4', 'UGT1A1', 'UGT1A10', 'UGT1A8']","['SLCO1B1', 'SLCO1B3', 'ABCB1', 'ABCG2', 'ABCC2', 'ABCC3', 'ABCC4']","['ABCG2', 'ESR2', 'UGT1A10', 'AOX1', 'ABCC3', 'CYP2B6', 'ESR1', 'UGT1A8', 'CYP19A1', 'ABCB1', 'SLCO1B3', 'SERPINB9', 'TFF1', 'ABCC2', 'CYP2C8', 'ABCC4', 'CYP3A4', 'UGT1A1', 'SLCO1B1']",4,8,7,19
