signature_name,drug_name,cid,direction,num_genes
Fingolimod phosphate_BD-38-GC64_batchid1_0.01uM_24h up,Fingolimod phosphate,9908268,up,47
Fingolimod phosphate_BD-38-GC64_batchid1_0.01uM_24h down,Fingolimod phosphate,9908268,down,32
Dinoprostone_AB-21-MV93_batchid1_0.01uM_24h up,Dinoprostone,5280360,up,293
Dinoprostone_AB-21-MV93_batchid1_0.01uM_24h down,Dinoprostone,5280360,down,120
9863010_LA-69-OL77_batchid1_0.01uM_24h up,9863010,9863010,up,288
9863010_LA-69-OL77_batchid1_0.01uM_24h down,9863010,9863010,down,107
3-(2-Methoxybenzylamino)-2-phenylpiperidine_FC-55-IG96_batchid1_0.01uM_24h up,3-(2-Methoxybenzylamino)-2-phenylpiperidine,5311057,up,47
3-(2-Methoxybenzylamino)-2-phenylpiperidine_FC-55-IG96_batchid1_0.01uM_24h down,3-(2-Methoxybenzylamino)-2-phenylpiperidine,5311057,down,44
Oxytocin_FC-03-PM86_batchid1_0.01uM_24h down,Oxytocin,439302,down,28
Terazosin_DD-15-VH74_batchid1_0.01uM_24h up,Terazosin,5401,up,18
Terazosin_DD-15-VH74_batchid1_0.01uM_24h down,Terazosin,5401,down,28
NS3763_CB-59-FD39_batchid1_0.01uM_24h up,NS3763,4359312,up,8
DL-Tyrosine_AA-45-BL29_batchid1_0.01uM_24h up,DL-Tyrosine,1153,up,97
DL-Tyrosine_AA-45-BL29_batchid1_0.01uM_24h down,DL-Tyrosine,1153,down,46
667714_CE-72-SF92_batchid1_0.01uM_24h up,667714,667714,up,40
667714_CE-72-SF92_batchid1_0.01uM_24h down,667714,667714,down,77
ethyl 2-(1H-imidazol-4-yl)acetate_CF-24-PH37_batchid1_0.01uM_24h up,ethyl 2-(1H-imidazol-4-yl)acetate,13190584,up,111
ethyl 2-(1H-imidazol-4-yl)acetate_CF-24-PH37_batchid1_0.01uM_24h down,ethyl 2-(1H-imidazol-4-yl)acetate,13190584,down,72
4-[[4-(4-Chlorophenyl)-2-thiazolyl]amino]phenol_AA-79-SX47_batchid1_0.01uM_24h up,4-[[4-(4-Chlorophenyl)-2-thiazolyl]amino]phenol,753704,up,151
4-[[4-(4-Chlorophenyl)-2-thiazolyl]amino]phenol_AA-79-SX47_batchid1_0.01uM_24h down,4-[[4-(4-Chlorophenyl)-2-thiazolyl]amino]phenol,753704,down,487
2419_IA-65-QX27_batchid1_0.01uM_24h up,2419,2419,up,348
2419_IA-65-QX27_batchid1_0.01uM_24h down,2419,2419,down,484
3036864_AE-04-DX45_batchid1_0.01uM_24h up,3036864,3036864,up,71
3036864_AE-04-DX45_batchid1_0.01uM_24h down,3036864,3036864,down,18
Chelerythrine_BD-38-QC39_batchid1_0.01uM_24h up,Chelerythrine,2703,up,435
Chelerythrine_BD-38-QC39_batchid1_0.01uM_24h down,Chelerythrine,2703,down,97
6917817_CF-81-DS26_batchid1_0.01uM_24h up,6917817,6917817,up,89
6917817_CF-81-DS26_batchid1_0.01uM_24h down,6917817,6917817,down,42
Neostigmine_AB-41-VZ28_batchid1_0.01uM_24h up,Neostigmine,4456,up,130
Neostigmine_AB-41-VZ28_batchid1_0.01uM_24h down,Neostigmine,4456,down,39
Myxothiazol_BB-20-UU03_batchid1_0.01uM_24h up,Myxothiazol,10972974,up,328
Myxothiazol_BB-20-UU03_batchid1_0.01uM_24h down,Myxothiazol,10972974,down,305
2768262_AB-87-KC82_batchid1_0.01uM_24h up,2768262,2768262,up,13
2768262_AB-87-KC82_batchid1_0.01uM_24h down,2768262,2768262,down,8
Melevodopa_DE-99-OT37_batchid1_0.01uM_24h up,Melevodopa,23497,up,386
Melevodopa_DE-99-OT37_batchid1_0.01uM_24h down,Melevodopa,23497,down,327
10195242_DA-75-NX57_batchid1_0.01uM_24h up,10195242,10195242,up,42
10195242_DA-75-NX57_batchid1_0.01uM_24h down,10195242,10195242,down,7
33572_KC-96-UA29_batchid1_0.01uM_24h up,33572,33572,up,108
33572_KC-96-UA29_batchid1_0.01uM_24h down,33572,33572,down,47
Brompheniramine_CC-04-WK34_batchid1_0.01uM_24h up,Brompheniramine,6834,up,29
Trimebutine_FC-98-AJ86_batchid1_0.01uM_24h down,Trimebutine,5573,down,7
2-(4-Amylcinnamoyl)amino-4-chlorobenzoic acid_XD-50-BD50_batchid1_0.01uM_24h up,2-(4-Amylcinnamoyl)amino-4-chlorobenzoic acid,6438389,up,16
146680896_ZB-09-RC84_batchid1_0.01uM_24h up,146680896,146680896,up,18
146680896_ZB-09-RC84_batchid1_0.01uM_24h down,146680896,146680896,down,17
3818114_WC-75-IK59_batchid1_0.01uM_24h up,3818114,3818114,up,75
3818114_WC-75-IK59_batchid1_0.01uM_24h down,3818114,3818114,down,37
6621104_LD-98-CY91_batchid1_0.01uM_24h down,6621104,6621104,down,8
2808202_FB-06-IU47_batchid1_0.01uM_24h up,2808202,2808202,up,44
2808202_FB-06-IU47_batchid1_0.01uM_24h down,2808202,2808202,down,26
2736690_HF-01-QN73_batchid1_0.01uM_24h up,2736690,2736690,up,138
2736690_HF-01-QN73_batchid1_0.01uM_24h down,2736690,2736690,down,51
2824096_JD-61-EG41_batchid1_0.01uM_24h up,2824096,2824096,up,19
Sib-1893_CA-68-SW47_batchid1_0.01uM_24h up,Sib-1893,5311432,up,148
Sib-1893_CA-68-SW47_batchid1_0.01uM_24h down,Sib-1893,5311432,down,28
O(6)-Benzylguanine_ED-00-OH22_batchid1_0.01uM_24h up,O(6)-Benzylguanine,4578,up,40
O(6)-Benzylguanine_ED-00-OH22_batchid1_0.01uM_24h down,O(6)-Benzylguanine,4578,down,9
Talampanel_DD-24-TT70_batchid1_0.01uM_24h up,Talampanel,164509,up,118
Talampanel_DD-24-TT70_batchid1_0.01uM_24h down,Talampanel,164509,down,67
10127776_NF-64-RE03_batchid1_0.01uM_24h up,10127776,10127776,up,21
10127776_NF-64-RE03_batchid1_0.01uM_24h down,10127776,10127776,down,5
4254532_LE-41-QT17_batchid1_0.01uM_24h up,4254532,4254532,up,147
4254532_LE-41-QT17_batchid1_0.01uM_24h down,4254532,4254532,down,44
H4 Receptor antagonist 1_RA-44-SU16_batchid1_0.01uM_24h up,H4 Receptor antagonist 1,3934857,up,172
H4 Receptor antagonist 1_RA-44-SU16_batchid1_0.01uM_24h down,H4 Receptor antagonist 1,3934857,down,81
_BA-15-LA22_batchid1_0.01uM_24h up,,,up,7
Tipifarnib_HA-53-FL63_batchid1_0.01uM_24h up,Tipifarnib,159324,up,18
CID 9958520_BC-54-ON71_batchid1_0.01uM_24h up,CID 9958520,9958520,up,1992
CID 9958520_BC-54-ON71_batchid1_0.01uM_24h down,CID 9958520,9958520,down,1993
"7-Nitro-1,2,3,4-tetrahydroisoquinoline_JC-76-VX29_batchid1_0.01uM_24h up","7-Nitro-1,2,3,4-tetrahydroisoquinoline",6424833,up,7
"7-Nitro-1,2,3,4-tetrahydroisoquinoline_JC-76-VX29_batchid1_0.01uM_24h down","7-Nitro-1,2,3,4-tetrahydroisoquinoline",6424833,down,9
11705637_BB-83-ZM06_batchid1_0.01uM_24h up,11705637,11705637,up,46
11705637_BB-83-ZM06_batchid1_0.01uM_24h down,11705637,11705637,down,27
11518143_BC-13-GC37_batchid1_0.01uM_24h up,11518143,11518143,up,39
BX-912_DE-48-HZ49_batchid1_0.01uM_24h up,BX-912,11754511,up,15
BX-912_DE-48-HZ49_batchid1_0.01uM_24h down,BX-912,11754511,down,34
11670352_FF-34-KW62_batchid1_0.01uM_24h up,11670352,11670352,up,231
11670352_FF-34-KW62_batchid1_0.01uM_24h down,11670352,11670352,down,73
16752744_BE-90-YK54_batchid1_0.01uM_24h up,16752744,16752744,up,56
16752744_BE-90-YK54_batchid1_0.01uM_24h down,16752744,16752744,down,22
10187378_JB-09-SI50_batchid1_0.01uM_24h up,10187378,10187378,up,49
10187378_JB-09-SI50_batchid1_0.01uM_24h down,10187378,10187378,down,5
Moxonidine_DD-08-BT45_batchid1_0.01uM_24h up,Moxonidine,4810,up,5
59299295_DA-62-XV25_batchid1_0.01uM_24h up,59299295,59299295,up,49
59299295_DA-62-XV25_batchid1_0.01uM_24h down,59299295,59299295,down,21
6474906_FD-20-OG99_batchid1_0.01uM_24h up,6474906,6474906,up,88
6474906_FD-20-OG99_batchid1_0.01uM_24h down,6474906,6474906,down,28
5-Chloro-2-(mesitylamino)benzamide_NC-62-VG98_batchid1_0.01uM_24h up,5-Chloro-2-(mesitylamino)benzamide,68474460,up,5
15990224_EA-60-LN91_batchid1_0.01uM_24h up,15990224,15990224,up,101
15990224_EA-60-LN91_batchid1_0.01uM_24h down,15990224,15990224,down,35
51033724_EC-70-XX20_batchid1_0.01uM_24h up,51033724,51033724,up,6
68722459_BD-60-XA25_batchid1_0.01uM_24h up,68722459,68722459,up,31
448043_AF-11-IL39_batchid1_0.01uM_24h up,448043,448043,up,163
448043_AF-11-IL39_batchid1_0.01uM_24h down,448043,448043,down,56
9870477_KC-21-PG56_batchid1_0.01uM_24h up,9870477,9870477,up,11
9870477_KC-21-PG56_batchid1_0.01uM_24h down,9870477,9870477,down,7
25227476_GC-29-JC76_batchid1_0.01uM_24h up,25227476,25227476,up,220
25227476_GC-29-JC76_batchid1_0.01uM_24h down,25227476,25227476,down,77
16047619_CE-18-ZM38_batchid1_0.01uM_24h up,16047619,16047619,up,224
16047619_CE-18-ZM38_batchid1_0.01uM_24h down,16047619,16047619,down,117
22479762_UF-27-OP66_batchid1_0.01uM_24h up,22479762,22479762,up,148
22479762_UF-27-OP66_batchid1_0.01uM_24h down,22479762,22479762,down,62
Mosapride_BB-45-NH69_batchid1_0.01uM_24h up,Mosapride,119584,up,127
Mosapride_BB-45-NH69_batchid1_0.01uM_24h down,Mosapride,119584,down,51
Pfi-4_BB-31-EB45_batchid1_0.01uM_24h up,Pfi-4,40642506,up,30
Pfi-4_BB-31-EB45_batchid1_0.01uM_24h down,Pfi-4,40642506,down,22
24897305_OE-67-XG40_batchid1_0.01uM_24h up,24897305,24897305,up,55
24897305_OE-67-XG40_batchid1_0.01uM_24h down,24897305,24897305,down,22
Voglibose_RE-51-AF63_batchid1_0.01uM_24h up,Voglibose,444020,up,11
Voglibose_RE-51-AF63_batchid1_0.01uM_24h down,Voglibose,444020,down,8
Ecabet_QB-42-ET79_batchid1_0.01uM_24h up,Ecabet,65781,up,69
Ecabet_QB-42-ET79_batchid1_0.01uM_24h down,Ecabet,65781,down,14
42606438_HA-99-PM50_batchid1_0.01uM_24h up,42606438,42606438,up,34
42606438_HA-99-PM50_batchid1_0.01uM_24h down,42606438,42606438,down,30
11615393_YC-80-XX73_batchid1_0.01uM_24h up,11615393,11615393,up,36
11615393_YC-80-XX73_batchid1_0.01uM_24h down,11615393,11615393,down,33
Polydatin_DD-34-AN51_batchid1_0.01uM_24h up,Polydatin,5281718,up,65
Polydatin_DD-34-AN51_batchid1_0.01uM_24h down,Polydatin,5281718,down,19
Malotilate_IC-05-AW29_batchid1_0.01uM_24h up,Malotilate,4006,up,150
Malotilate_IC-05-AW29_batchid1_0.01uM_24h down,Malotilate,4006,down,2000
Nifekalant_FD-09-BQ45_batchid1_0.01uM_24h down,Nifekalant,4486,down,17
Palonosetron_ZB-92-PL24_batchid1_0.01uM_24h up,Palonosetron,6337614,up,49
Palonosetron_ZB-92-PL24_batchid1_0.01uM_24h down,Palonosetron,6337614,down,35
6539805_HD-35-ZQ35_batchid1_0.01uM_24h up,6539805,6539805,up,8
6539805_HD-35-ZQ35_batchid1_0.01uM_24h down,6539805,6539805,down,9
133633_AC-70-KV26_batchid1_0.01uM_24h down,133633,133633,down,25
Aminoglutethimide_AA-74-OG49_batchid1_0.01uM_24h up,Aminoglutethimide,2145,up,23
Aminoglutethimide_AA-74-OG49_batchid1_0.01uM_24h down,Aminoglutethimide,2145,down,129
Wx-uk1 free base_PA-53-BA36_batchid1_0.01uM_24h up,Wx-uk1 free base,9895193,up,62
Wx-uk1 free base_PA-53-BA36_batchid1_0.01uM_24h down,Wx-uk1 free base,9895193,down,27
Picropodophyllin_VA-92-QP54_batchid1_0.01uM_24h up,Picropodophyllin,72435,up,41
Picropodophyllin_VA-92-QP54_batchid1_0.01uM_24h down,Picropodophyllin,72435,down,14
50914976_NF-24-NB76_batchid1_0.01uM_24h up,50914976,50914976,up,15
68379135_DB-73-BC12_batchid1_0.01uM_24h up,68379135,68379135,up,6
68379135_DB-73-BC12_batchid1_0.01uM_24h down,68379135,68379135,down,54
Talabostat_EF-14-GN61_batchid1_0.01uM_24h up,Talabostat,6918572,up,76
Talabostat_EF-14-GN61_batchid1_0.01uM_24h down,Talabostat,6918572,down,98
Avagacestat_DB-21-FY25_batchid1_0.01uM_24h up,Avagacestat,46883536,up,288
Avagacestat_DB-21-FY25_batchid1_0.01uM_24h down,Avagacestat,46883536,down,583
58531411_FA-67-MV22_batchid1_0.01uM_24h up,58531411,58531411,up,6
92131113_BB-94-HN41_batchid1_0.01uM_24h up,92131113,92131113,up,38
92131113_BB-94-HN41_batchid1_0.01uM_24h down,92131113,92131113,down,19
_HB-09-OC16_batchid1_0.01uM_24h up,,,up,19
MC1568_FB-56-IR20_batchid1_0.01uM_24h up,MC1568,11381449,up,191
MC1568_FB-56-IR20_batchid1_0.01uM_24h down,MC1568,11381449,down,311
Idelalisib_BC-36-PL31_batchid1_0.01uM_24h up,Idelalisib,11625818,up,225
Idelalisib_BC-36-PL31_batchid1_0.01uM_24h down,Idelalisib,11625818,down,60
